STRIKE_PRC,IMP_VOLT
32.0,0.556758
32.5,0.54482
33.0,0.541617
33.5,0.529864
34.0,0.526014
34.5,0.5216149999999999
35.0,0.510068
36.0,0.510798
37.0,0.483121
37.5,0.477286
38.0,0.48059799999999997
39.0,0.4583359999999999
39.5,0.45743949999999994
40.0,0.4524535
40.5,0.437712
41.0,0.437328
41.5,0.4267669999999999
42.0,0.422518
42.5,0.414743
43.0,0.409879
43.5,0.404669
44.0,0.399147
44.5,0.39724550000000003
45.0,0.3920205
46.0,0.3827405
46.5,0.374003
47.0,0.37076
47.5,0.366991
48.0,0.3627499999999999
48.5,0.358078
49.0,0.3546029999999999
49.5,0.3543484999999999
50.0,0.3506175
50.5,0.345406
51.0,0.3432285
51.5,0.339153
52.0,0.335205
52.5,0.33473949999999997
53.0,0.329155
53.5,0.328545
54.0,0.3239309999999999
54.5,0.3230465
55.0,0.32231599999999994
55.5,0.31838049999999996
56.0,0.3159785
56.5,0.3164105
57.0,0.31137499999999996
57.5,0.3095355
58.0,0.3097215
58.5,0.3054205
59.0,0.304619
59.5,0.301315
60.0,0.299186
60.5,0.2974915
61.0,0.2958405
61.5,0.29385849999999997
62.0,0.2925535
62.5,0.29109799999999997
63.0,0.28994699999999995
63.5,0.28920100000000004
64.0,0.28775699999999993
64.5,0.286733
65.0,0.28615199999999996
65.5,0.2852715
66.0,0.2848784999999999
66.5,0.28421399999999997
67.0,0.2841005
67.5,0.2853685
68.0,0.284047
68.5,0.284607
69.0,0.2845795
69.5,0.2853365
70.0,0.285539
70.5,0.286159
71.0,0.286229
71.5,0.28732749999999996
72.0,0.28848450000000003
72.5,0.289744
73.0,0.29113500000000003
73.5,0.29271549999999996
74.0,0.2951625
74.5,0.2956895
75.0,0.300497
75.5,0.301789
76.0,0.3014695
76.5,0.302895
77.0,0.308034
77.5,0.3095299999999999
78.0,0.312371
78.5,0.31098800000000004
79.0,0.315658
79.5,0.31658050000000004
80.0,0.3185905
80.5,0.3233529999999999
81.0,0.323983
81.5,0.330255
82.0,0.33352
82.5,0.334495
83.0,0.337453
83.5,0.340281
84.0,0.3453159999999999
84.5,0.3442465
85.0,0.350441
85.5,0.352803
86.0,0.3524235
86.5,0.359752
87.0,0.361773
87.5,0.366392
88.0,0.368209
88.5,0.372727
89.0,0.374336
89.5,0.378757
90.0,0.3741045
90.5,0.37873349999999995
91.0,0.385666
91.5,0.3836885
92.0,0.390866
92.5,0.395012
93.0,0.3872275
93.5,0.3998089999999999
94.0,0.403838
94.5,0.404287
95.0,0.39807499999999996
95.5,0.408437
96.0,0.412301
96.5,0.4161379999999999
98.0,0.423523
99.0,0.4267519999999999
99.5,0.430383
100.5,0.437569
101.0,0.441126
101.5,0.4446589999999999
102.5,0.447164
103.0,0.450604
103.5,0.454022
104.0,0.452659
104.5,0.456009
105.0,0.4593379999999999
105.5,0.462646
106.0,0.465934
106.5,0.464093
107.0,0.467316
107.5,0.470519
108.5,0.476866
109.0,0.480012
109.5,0.483138
110.0,0.4807
111.5,0.489842
112.0,0.492854
113.5,0.495749
114.0,0.498669
115.0,0.504459
117.0,0.5092519999999999
117.5,0.512035
118.0,0.514804
118.5,0.517558
119.5,0.523023
120.0,0.525734
120.5,0.5284300000000001
122.5,0.531727
125.0,0.54461
